ISO,Year,Item,FPi
AFG,2017,"Mangoes, mangosteens, guavas",0.0
AFG,2017,Meat nes,0.0
AFG,2017,"Meat, buffalo",0.0
AFG,2017,"Meat, camel",3.556
AFG,2017,"Meat, cattle",128.357
AFG,2017,"Meat, chicken",27.518
AFG,2017,"Meat, duck",0.0
AFG,2017,"Meat, game",8.004
AFG,2017,"Meat, goat",46.659
AFG,2017,"Meat, goose and guinea fowl",0.0
AFG,2017,"Meat, pig",0.0
AFG,2017,"Meat, rabbit",0.0
AFG,2017,"Meat, sheep",111.598
AFG,2017,"Meat, turkey",0.0
AFG,2017,"Melons, other (inc.cantaloupes)",327.63
AFG,2017,Melonseed,0.0
AFG,2017,"Milk, whole fresh camel",6.846
AFG,2017,"Milk, whole fresh cow",1781.535
AFG,2017,"Milk, whole fresh goat",114.57900000000001
AFG,2017,"Milk, whole fresh sheep",206.763
AFG,2017,Millet,11.948
AFG,2017,Mushrooms and truffles,0.0
AFG,2017,Mustard seed,0.0
AFG,2017,"Nutmeg, mace and cardamoms",0.0
AFG,2017,Nuts nes,1.328
AFG,2017,Oats,0.0
AFG,2017,Offals nes,0.0
AFG,2017,"Offals, edible, camels",0.533
AFG,2017,"Offals, edible, cattle",22.523
AFG,2017,"Offals, edible, goats",9.046
AFG,2017,"Offals, liver chicken",0.0
AFG,2017,"Offals, liver geese",0.0
AFG,2017,"Offals, liver turkeys",0.0
AFG,2017,"Offals, sheep,edible",22.785
AFG,2017,Oilseeds nes,0.0
AFG,2017,Olives,7.878
AFG,2017,"Onions, dry",212.0
AFG,2017,Oranges,3.914
AFG,2017,Peaches and nectarines,54.752
AFG,2017,Pears,14.787
AFG,2017,"Peas, dry",0.0
AFG,2017,"Peas, green",0.0
AFG,2017,Pepper (piper spp.),0.0
AFG,2017,Persimmons,0.0
AFG,2017,Pigeon peas,0.0
AFG,2017,Pineapples,0.0
AFG,2017,Pistachios,2.726
AFG,2017,Plantains and others,0.0
AFG,2017,Plums and sloes,24.794
AFG,2017,Poppy seed,0.0
AFG,2017,Potatoes,513.194
AFG,2017,Pulses nes,36.458
AFG,2017,"Pumpkins, squash and gourds",0.0
AFG,2017,Quinces,0.0
AFG,2017,Quinoa,0.0
AFG,2017,Rapeseed,0.0
AFG,2017,Raspberries,0.0
AFG,2017,"Rice, paddy",338.42
AFG,2017,Roots and tubers nes,0.0
AFG,2017,Rye,0.0
AFG,2017,Safflower seed,0.0
AFG,2017,Sesame seed,32.0
AFG,2017,Sorghum,0.0
AFG,2017,Soybeans,0.0
AFG,2017,Spices nes,0.009000000000000001
AFG,2017,Spinach,0.0
AFG,2017,Strawberries,0.0
AFG,2017,Sugar beet,2.102
AFG,2017,Sugar cane,33.725
AFG,2017,Sunflower seed,0.389
AFG,2017,Sweet corn frozen,0.0
AFG,2017,Sweet corn prep or preserved,0.0
AFG,2017,Sweet potatoes,0.0
AFG,2017,"Tangerines, mandarins, clementines, satsumas",0.0
AFG,2017,Taro (cocoyam),0.0
AFG,2017,Tea,0.0
AFG,2017,Tomatoes,0.0
AFG,2017,Vanilla,0.0
AFG,2017,"Vegetables, fresh nes",681.828
AFG,2017,"Vegetables, leguminous nes",0.0
AFG,2017,"Walnuts, with shell",7.1450000000000005
AFG,2017,Watermelons,683.778
AFG,2017,Wheat,4280.776
AFG,2017,Yams,0.0
AFG,2018,"Almonds, with shell",34.413000000000004
AFG,2018,"Anise, badian, fennel, coriander",18.143
AFG,2018,Apples,217.192
AFG,2018,Apricots,18.51
AFG,2018,Areca nuts,0.0
AFG,2018,Artichokes,0.0
AFG,2018,Asparagus,0.0
AFG,2018,Avocados,0.0
AFG,2018,Bambara beans,0.0
AFG,2018,Bananas,0.0
AFG,2018,Barley,56.781
AFG,2018,"Beans, dry",0.0
AFG,2018,"Beans, green",0.0
AFG,2018,Berries nes,21.776
AFG,2018,"Brazil nuts, with shell",0.0
AFG,2018,"Broad beans, horse beans, dry",0.0
AFG,2018,Buckwheat,0.0
AFG,2018,Cabbages and other brassicas,0.0
AFG,2018,Canary seed,0.0
AFG,2018,Carrots and turnips,0.0
AFG,2018,"Cashew nuts, with shell",0.0
AFG,2018,Cassava leaves,0.0
AFG,2018,Castor oil seed,0.0
AFG,2018,Cauliflowers and broccoli,0.0
AFG,2018,Cereals nes,0.0
AFG,2018,Cherries,0.0
AFG,2018,"Cherries, sour",0.004
AFG,2018,Chestnut,0.0
AFG,2018,Chick peas,0.0
AFG,2018,Chicory roots,0.292
AFG,2018,"Chillies and peppers, dry",0.0
AFG,2018,"Chillies and peppers, green",0.0
AFG,2018,Cinnamon (cannella),0.0
AFG,2018,Cloves,0.0
AFG,2018,"Cocoa, beans",0.0
AFG,2018,Coconuts,0.0
AFG,2018,"Coffee, green",0.0
AFG,2018,"Cow peas, dry",0.0
AFG,2018,Cucumbers and gherkins,61.412
AFG,2018,Dates,0.0
AFG,2018,Eggplants (aubergines),0.0
AFG,2018,"Eggs, hen, in shell",22.373
AFG,2018,"Eggs, other bird, in shell",0.0
AFG,2018,"Fat, camels",0.249
AFG,2018,"Fat, cattle",3.181
AFG,2018,"Fat, goats",1.752
AFG,2018,"Fat, sheep",6.347
AFG,2018,Figs,6.073
AFG,2018,"Fruit, citrus nes",2.802
AFG,2018,"Fruit, fresh nes",63.702
AFG,2018,"Fruit, stone nes",52.171
AFG,2018,"Fruit, tropical fresh nes",0.0
AFG,2018,Garlic,0.0
AFG,2018,Ginger,0.0
AFG,2018,Grapefruit (inc. pomelos),0.0
AFG,2018,Grapes,984.081
AFG,2018,"Groundnuts, with shell",0.0
AFG,2018,"Hazelnuts, with shell",0.0
AFG,2018,Hempseed,0.0
AFG,2018,"Honey, natural",1.677
AFG,2018,Kiwi fruit,0.0
AFG,2018,"Leeks, other alliaceous vegetables",0.006
AFG,2018,Lemons and limes,0.0
AFG,2018,Lentils,0.0
AFG,2018,Lettuce and chicory,0.0
AFG,2018,Linseed,1.486
AFG,2018,Maize,106.67
AFG,2018,"Maize, green",0.0
AFG,2018,"Mangoes, mangosteens, guavas",0.0
AFG,2018,Maté,0.0
AFG,2018,Meat nes,0.0
AFG,2018,"Meat, buffalo",0.0
AFG,2018,"Meat, camel",3.552
AFG,2018,"Meat, cattle",129.691
AFG,2018,"Meat, chicken",28.85
AFG,2018,"Meat, duck",0.0
AFG,2018,"Meat, game",8.009
AFG,2018,"Meat, goat",47.699
AFG,2018,"Meat, goose and guinea fowl",0.0
AFG,2018,"Meat, pig",0.0
AFG,2018,"Meat, sheep",112.834
AFG,2018,"Meat, turkey",0.0
AFG,2018,"Melons, other (inc.cantaloupes)",329.241
AFG,2018,Melonseed,0.0
AFG,2018,"Milk, whole fresh camel",6.844
AFG,2018,"Milk, whole fresh cow",1796.6090000000002
AFG,2018,"Milk, whole fresh goat",116.186
AFG,2018,"Milk, whole fresh sheep",208.48000000000002
AFG,2018,Millet,11.64
AFG,2018,Mushrooms and truffles,0.0
AFG,2018,Mustard seed,0.0
AFG,2018,"Nutmeg, mace and cardamoms",0.0
AFG,2018,Nuts nes,1.448
AFG,2018,Oats,0.0
AFG,2018,Offals nes,0.0
AFG,2018,"Offals, edible, camels",0.533
AFG,2018,"Offals, edible, cattle",22.757
AFG,2018,"Offals, edible, goats",9.248
AFG,2018,"Offals, liver chicken",0.0
