ISO,Year,EFR
AUT,1995,41.51
AUT,1996,41.51
AUT,1997,41.51
AUT,1998,41.51
AUT,1999,41.51
AUT,2000,41.51
AUT,2001,41.51
AUT,2002,41.51
AUT,2003,41.51
AUT,2004,41.51
AUT,2005,41.51
AUT,2006,41.51
AUT,2007,41.51
AUT,2008,41.51
AUT,2009,41.51
AUT,2010,41.51
AUT,2011,41.51
AUT,2012,41.51
AUT,2013,41.51
AUT,2014,41.51
AUT,2015,41.51
AUT,2016,41.51
AUT,2017,41.51
AUT,2018,41.51
AUT,2019,41.51
AUT,2020,41.51
AUT,2021,41.51
AUT,2022,41.51
AUT,2023,41.51
AUT,2024,41.51
AUT,2025,41.51
AUT,2026,41.51
AUT,2027,41.51
AUT,2028,41.51
AUT,2029,41.51
AUT,2030,41.51
AUT,2031,41.51
AUT,2032,41.51
AUT,2033,41.51
AUT,2034,41.51
AUT,2035,41.51
AUT,2036,41.51
AUT,2037,41.51
AUT,2038,41.51
AUT,2039,41.51
AUT,2040,41.51
AUT,2041,41.51
AUT,2042,41.51
AUT,2043,41.51
AUT,2044,41.51
AUT,2045,41.51
AUT,2046,41.51
AUT,2047,41.51
AUT,2048,41.51
AUT,2049,41.51
AUT,2050,41.51
AZE,1980,12.03
AZE,1981,12.03
AZE,1982,12.03
AZE,1983,12.03
AZE,1984,12.03
AZE,1985,12.03
AZE,1986,12.03
AZE,1987,12.03
AZE,1988,12.03
AZE,1989,12.03
AZE,1990,12.03
AZE,1991,12.03
AZE,1992,12.03
AZE,1993,12.03
AZE,1994,12.03
AZE,1995,12.03
AZE,1996,12.03
AZE,1997,12.03
AZE,1998,12.03
AZE,1999,12.03
AZE,2000,12.03
AZE,2001,12.03
AZE,2002,12.03
AZE,2003,12.03
AZE,2004,12.03
AZE,2005,12.03
AZE,2006,12.03
AZE,2007,12.03
AZE,2008,12.03
AZE,2009,12.03
AZE,2010,12.03
AZE,2011,12.03
AZE,2012,12.03
AZE,2013,12.03
AZE,2014,12.03
AZE,2015,12.03
AZE,2016,12.03
AZE,2017,12.03
AZE,2018,12.03
AZE,2019,12.03
AZE,2020,12.03
AZE,2021,12.03
AZE,2022,12.03
AZE,2023,12.03
AZE,2024,12.03
AZE,2025,12.03
AZE,2026,12.03
AZE,2027,12.03
AZE,2028,12.03
AZE,2029,12.03
AZE,2030,12.03
AZE,2031,12.03
AZE,2032,12.03
AZE,2033,12.03
AZE,2034,12.03
AZE,2035,12.03
AZE,2036,12.03
AZE,2037,12.03
AZE,2038,12.03
AZE,2039,12.03
AZE,2040,12.03
AZE,2041,12.03
AZE,2042,12.03
AZE,2043,12.03
AZE,2044,12.03
AZE,2045,12.03
AZE,2046,12.03
AZE,2047,12.03
AZE,2048,12.03
AZE,2049,12.03
AZE,2050,12.03
BDI,1980,9.788
BDI,1981,9.788
BDI,1982,9.788
BDI,1983,9.788
BDI,1984,9.788
BDI,1985,9.788
BDI,1986,9.788
BDI,1987,9.788
BDI,1988,9.788
BDI,1989,9.788
BDI,1990,9.788
BDI,1991,9.788
BDI,1992,9.788
BDI,1993,9.788
BDI,1994,9.788
BDI,1995,9.788
BDI,1996,9.788
BDI,1997,9.788
BDI,1998,9.788
BDI,1999,9.788
BDI,2000,9.788
BDI,2001,9.788
BDI,2002,9.788
BDI,2003,9.788
BDI,2004,9.788
BDI,2005,9.788
BDI,2006,9.788
BDI,2007,9.788
BDI,2008,9.788
BDI,2009,9.788
BDI,2010,9.788
BDI,2011,9.788
BDI,2012,9.788
BDI,2013,9.788
BDI,2014,9.788
BDI,2015,9.788
BDI,2016,9.788
BDI,2017,9.788
BDI,2018,9.788
BDI,2019,9.788
BDI,2020,9.788
BDI,2021,9.788
BDI,2022,9.788
BDI,2023,9.788
BDI,2024,9.788
BDI,2025,9.788
BDI,2026,9.788
BDI,2027,9.788
BDI,2028,9.788
BDI,2029,9.788
BDI,2030,9.788
BDI,2031,9.788
BDI,2032,9.788
BDI,2033,9.788
BDI,2034,9.788
BDI,2035,9.788
BDI,2036,9.788
BDI,2037,9.788
BDI,2038,9.788
BDI,2039,9.788
BDI,2040,9.788
BDI,2041,9.788
BDI,2042,9.788
BDI,2043,9.788
BDI,2044,9.788
BDI,2045,9.788
BDI,2046,9.788
BDI,2047,9.788
BDI,2048,9.788
BDI,2049,9.788
BDI,2050,9.788
BEL,1980,10.16
BEL,1981,10.16
BEL,1982,10.16
BEL,1983,10.16
BEL,1984,10.16
BEL,1985,10.16
BEL,1986,10.16
BEL,1987,10.16
BEL,1988,10.16
BEL,1989,10.16
BEL,1990,10.16
BEL,1991,10.16
BEL,1992,10.16
BEL,1993,10.16
BEL,1994,10.16
BEL,1995,10.16
BEL,1996,10.16
BEL,1997,10.16
BEL,1998,10.16
BEL,1999,10.16
BEL,2000,10.16
BEL,2001,10.16
BEL,2002,10.16
BEL,2003,10.16
BEL,2004,10.16
BEL,2005,10.16
BEL,2006,10.16
BEL,2007,10.16
BEL,2008,10.16
BEL,2009,10.16
BEL,2010,10.16
BEL,2011,10.16
BEL,2012,10.16
BEL,2013,10.16
BEL,2014,10.16
BEL,2015,10.16
BEL,2016,10.16
BEL,2017,10.16
BEL,2018,10.16
BEL,2019,10.16
BEL,2020,10.16
BEL,2021,10.16
BEL,2022,10.16
BEL,2023,10.16
BEL,2024,10.16
BEL,2025,10.16
BEL,2026,10.16
BEL,2027,10.16
BEL,2028,10.16
BEL,2029,10.16
BEL,2030,10.16
BEL,2031,10.16
BEL,2032,10.16
BEL,2033,10.16
BEL,2034,10.16
BEL,2035,10.16
BEL,2036,10.16
BEL,2037,10.16
BEL,2038,10.16
BEL,2039,10.16
BEL,2040,10.16
BEL,2041,10.16
BEL,2042,10.16
BEL,2043,10.16
BEL,2044,10.16
BEL,2045,10.16
