ISO,Year,TFA
BEL,1992,18.3
BEL,1993,18.3
BEL,1994,18.3
BEL,1995,18.3
BEL,1996,18.3
BEL,1997,18.3
BEL,1998,18.3
BEL,1999,18.3
BEL,2000,18.3
BEL,2001,18.3
BEL,2002,18.3
BEL,2003,18.3
BEL,2004,18.3
BEL,2005,18.3
BEL,2006,18.3
BEL,2007,18.3
BEL,2008,18.3
BEL,2009,18.3
BEL,2010,18.3
BEL,2011,18.3
BEL,2012,18.3
BEL,2013,18.3
BEL,2014,18.3
BEL,2015,18.3
BEL,2016,18.3
BEL,2017,18.3
BEL,2018,18.3
BEL,2019,18.3
BEL,2020,18.3
BEL,2021,18.3
BEL,2022,18.3
BEL,2023,18.3
BEL,2024,18.3
BEL,2025,18.3
BEL,2026,18.3
BEL,2027,18.3
BEL,2028,18.3
BEL,2029,18.3
BEL,2030,18.3
BEL,2031,18.3
BEL,2032,18.3
BEL,2033,18.3
BEL,2034,18.3
BEL,2035,18.3
BEL,2036,18.3
BEL,2037,18.3
BEL,2038,18.3
