ISO,Year,ERWR
EST,2009,0.096
EST,2010,0.096
EST,2011,0.096
EST,2012,0.096
EST,2013,0.096
EST,2014,0.096
EST,2015,0.096
EST,2016,0.096
EST,2017,0.096
EST,2018,0.096
EST,2019,0.096
ETH,2000,0.0
ETH,2001,0.0
ETH,2002,0.0
ETH,2003,0.0
ETH,2004,0.0
ETH,2005,0.0
ETH,2006,0.0
ETH,2007,0.0
ETH,2008,0.0
ETH,2009,0.0
ETH,2010,0.0
ETH,2011,0.0
ETH,2012,0.0
ETH,2013,0.0
ETH,2014,0.0
ETH,2015,0.0
ETH,2016,0.0
ETH,2017,0.0
ETH,2018,0.0
ETH,2019,0.0
FIN,2000,3.0
FIN,2001,3.0
FIN,2002,3.0
FIN,2003,3.0
FIN,2004,3.0
FIN,2005,3.0
FIN,2006,3.0
FIN,2007,3.0
FIN,2008,3.0
FIN,2009,3.0
FIN,2010,3.0
FIN,2011,3.0
FIN,2012,3.0
FIN,2013,3.0
FIN,2014,3.0
FIN,2015,3.0
FIN,2016,3.0
FIN,2017,3.0
FIN,2018,3.0
FIN,2019,3.0
FJI,2000,0.0
FJI,2001,0.0
FJI,2002,0.0
FJI,2003,0.0
FJI,2004,0.0
FJI,2005,0.0
FJI,2006,0.0
FJI,2007,0.0
FJI,2008,0.0
FJI,2009,0.0
FJI,2010,0.0
FJI,2011,0.0
FJI,2012,0.0
FJI,2013,0.0
FJI,2014,0.0
FJI,2015,0.0
FJI,2016,0.0
FJI,2017,0.0
FJI,2018,0.0
FJI,2019,0.0
FRA,2000,11.0
FRA,2001,11.0
FRA,2002,11.0
FRA,2003,11.0
FRA,2004,11.0
FRA,2005,11.0
FRA,2006,11.0
FRA,2007,11.0
FRA,2008,11.0
FRA,2009,11.0
FRA,2010,11.0
FRA,2011,11.0
FRA,2012,11.0
FRA,2013,11.0
FRA,2014,11.0
FRA,2015,11.0
FRA,2016,11.0
FRA,2017,11.0
FRA,2018,11.0
FRA,2019,11.0
FRO,2000,0.0
FRO,2001,0.0
FRO,2002,0.0
FRO,2003,0.0
FRO,2004,0.0
FRO,2005,0.0
FRO,2006,0.0
FRO,2007,0.0
FRO,2008,0.0
FRO,2009,0.0
FRO,2010,0.0
FRO,2011,0.0
FRO,2012,0.0
