ISO,Year,WP
EST,2012,1.08
EST,2013,1.08
EST,2014,1.08
EST,2015,1.08
EST,2016,1.08
EST,2017,1.08
EST,2018,1.08
EST,2019,1.08
ETH,2000,0.18
ETH,2001,0.18
ETH,2002,0.18
ETH,2003,0.18
ETH,2004,0.18
ETH,2005,0.18
ETH,2006,0.18
ETH,2007,0.18
ETH,2008,0.18
ETH,2009,0.18
ETH,2010,0.18
ETH,2011,0.18
ETH,2012,0.18
ETH,2013,0.18
ETH,2014,0.18
ETH,2015,0.18
ETH,2016,0.18
ETH,2017,0.18
ETH,2018,0.18
ETH,2019,0.18
FIN,2000,2.44
FIN,2001,2.44
FIN,2002,2.44
FIN,2003,2.44
FIN,2004,2.44
FIN,2005,2.44
FIN,2006,2.44
FIN,2007,2.44
FIN,2008,2.44
FIN,2009,2.44
FIN,2010,2.44
FIN,2011,2.44
FIN,2012,2.44
FIN,2013,2.44
FIN,2014,2.44
FIN,2015,2.44
FIN,2016,2.44
FIN,2017,2.44
FIN,2018,2.44
FIN,2019,2.44
FJI,2000,0.07
FJI,2001,0.07
FJI,2002,0.07
FJI,2003,0.07
FJI,2004,0.07
FJI,2005,0.07
FJI,2006,0.07
FJI,2007,0.07
FJI,2008,0.07
FJI,2009,0.07
FJI,2010,0.07
FJI,2011,0.07
FJI,2012,0.07
FJI,2013,0.07
FJI,2014,0.07
FJI,2015,0.07
FJI,2016,0.07
FJI,2017,0.07
FJI,2018,0.07
FJI,2019,0.07
FRA,2000,2.18
FRA,2001,2.18
FRA,2002,2.18
FRA,2003,2.18
FRA,2004,2.18
FRA,2005,2.18
FRA,2006,2.18
FRA,2007,2.18
FRA,2008,2.18
FRA,2009,2.18
FRA,2010,2.18
FRA,2011,2.18
FRA,2012,2.18
FRA,2013,2.18
FRA,2014,2.18
FRA,2015,2.18
FRA,2016,2.18
FRA,2017,2.18
FRA,2018,2.18
FRA,2019,2.18
FRO,2000,0.0
FRO,2001,0.0
FRO,2002,0.0
FRO,2003,0.0
FRO,2004,0.0
FRO,2005,0.0
FRO,2006,0.0
FRO,2007,0.0
FRO,2008,0.0
FRO,2009,0.0
FRO,2010,0.0
FRO,2011,0.0
FRO,2012,0.0
FRO,2013,0.0
FRO,2014,0.0
FRO,2015,0.0
FRO,2016,0.0
FRO,2017,0.0
